Sno,type,name,contact,location,Social,Twitch
artist1,DJ,dj_jacklope,null,US,https://twitter.com/djjackalope,https://www.twitch.tv/missjackalope
artist2,DJ,dotornot2,null,US,https://twitter.com/dotornot2,https://www.twitch.tv/dotornot
artist3,DJ,kampf,null,US,https://defcon.social/@kampf,null
artist4,DJ,djTotalHarmonDistortion,null,US,https://www.facebook.com/djTotalHarmonDistortion,null
